inchi_key	n_annotations	target_genes	annotated_moas	smiles
FATGTHLOZSXOBC-UHFFFAOYSA-N	1	PTGDR2	CRTH2 Receptor Antagonists	Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O
FAWSUKOIROHXAP-NPMXOYFQSA-N	4	BRDT,BRD2,BRD3,BRD4	BET bromodomain inhibitor	CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C
FAZZYPIBZBGQSH-UHFFFAOYSA-N	4	AXIN1,AXIN2	Wnt pathway activator,AXIN auto-inhibition inhibitor	CCc1cccc2c1N(C)Cc1cc3c(cc1-2)OCO3
FBKMWOJEPMPVTQ-UHFFFAOYSA-N	2	IDO1	Highly Potent and Selective Indoleamine-2,3-dioxygenase 1 (IDO1) Inhibitor for Immunooncolog	NS(=O)(=O)NCCNc1nonc1/C(=N\O)Nc1ccc(F)c(Br)c1
FBLPQCAQRNSVHB-UHFFFAOYSA-N	2	RPS6KB1	Antagonist of S6K	CCc1cncnc1N1CCN(Cc2nc3cc(C(F)(F)F)ccc3[nH]2)CC1
FBPXLHRHDPRVOH-UHFFFAOYSA-N	2	F10	Inhibitors of Blood Coagulation Pathways,Coagulation Factor Xa Inhibitors	Cc1ccc(NC(=O)c2sc3ccccc3c2Cl)c(C(=O)Nc2ccc(F)cc2)c1
FBSFWRHWHYMIOG-UHFFFAOYSA-N	6	PTGS2,ALOX5	Antioxidants,Cyclooxygenase-2 Inhibitors,5-Lipoxygenase Inhibitors	COC(=O)c1cc(O)c(O)c(O)c1
FBSRBPSSIDGSEB-UHFFFAOYSA-N	5	RNU1-4,SNRPC,RNU1-3,RNU1-1,RNU1-2	splicing modulator	CN(c1ccc(-c2cc3c(=O)n(C)c(=O)n(C)c3cc2O)nn1)C1CC(C)(C)NC(C)(C)C1
FCCUUXVXNBHGAZ-YLJYHZDGSA-N	2	CSF1R	CSF1R (c-FMS) Inhibitors,Angiogenesis Inhibitors	Cn1cc(-c2cc(Oc3ccc4nc(N[C@@H]5CCCC[C@H]5O)sc4c3)ccn2)cn1
FCFLRBRNNOEQMR-MRVPVSSYSA-N	1	GRIN1	NMDA Glycine-Site Modulators	N[C@H](CNC(=O)c1cc2c(Br)cccc2[nH]1)C(=O)O
FCFNRCROJUBPLU-DNDCDFAISA-N	1			
FCHPZRJYEBHTOH-UHFFFAOYSA-N	1	USP7	TGFb pathway inhibitor	
FDDDEECHVMSUSB-UHFFFAOYSA-N	8	CA1,CA10,CA11,CA3,CA4,CA5A,CA5B,CA8	MEK1 Inhibitors	Nc1ccc(S(N)(=O)=O)cc1
FDLOBNTWQDSHPF-UHFFFAOYSA-N	2	THRB,THRA	Thyroid Hormone Receptor beta Agonists	CC(C)c1cc(Oc2c(Br)cc(CC(=O)O)cc2Br)ccc1O
FDLYAMZZIXQODN-UHFFFAOYSA-N	6	PARP2,PARP1,PARP3	Poly(ADP-ribose)polymerase-2 (PARP-2) Inhibitors,Poly(ADP-ribose)polymerase-1 (PARP-1) Inhibitors	O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
FDTXHWQFIXYHCL-QGZVFWFLSA-N	2	RPL17,PCSK9	pcsk9 translation inhbitor	O=C(c1ccc(-n2nnc3cccnc32)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1
FDWQSLRDIBRKEI-UHFFFAOYSA-N	15	CDK4,CDK2,CDK1,CCNE2,CCNE1	CDK4 Inhibitors,CDK1 Inhibitors,CDK2/Cyclin E Inhibitors	CC(C)(C)c1cnc(CSc2cnc(NC(=O)Cc3ccc(CNC(CO)CO)cc3)s2)o1
FDXQKWSTUZCCTM-UHFFFAOYSA-N	1	SLC6A2	Norepinephrine Reuptake Inhibitors	CNCC(O)CC12CCC(c3ccccc31)c1ccccc12
FEBUBLXOTBLSMX-UHFFFAOYSA-N	1	GPR65	GPR65 antagonist	
FECQXVPRUCCUIL-UHFFFAOYSA-N	2	KCNN4	Small Conductance SK(Ca) Channel Activators,Intermediate Conductance K(Ca) 3.1 (IKCa1| Gardos channel, SK41, IK1) Channel Activators	Nc1nc2c(ccc3ccccc32)s1
FEGRQUWSKADGSP-UHFFFAOYSA-N	9	PDGFRA,KDR,KIT	Angiogenesis Inhibitors,KIT (C-KIT) Inhibitors,PDGFRalpha Inhibitors	O=C(Nc1cncnc1)c1c(Cl)ccc2c(Nc3cccc(C(F)(F)F)c3)noc12
FELGMEQIXOGIFQ-UHFFFAOYSA-N	5	HTR3E,HTR3D,HTR3C,HTR3B,HTR3A	5-HT3 receptor antagonist	Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
FERIKTBTNCSGJS-KIGHRTHISA-N	16	GRM4,GRM6,GRM7,GRM8	GRM8 agonist,GRM7 agonist,GRM6 agonist,GRM4 agonist	N[C@@]1(C(=O)O)C[C@H](C(=O)O)[C@H](C(=O)O)C1
FEUMHQAIPUNRCH-ICQOZSIZSA-N	1	PTGER4	Prostanoid EP4 agonist	O=C(O)CCCCCCN1C(=O)CCC[C@@H]1/C=C/[C@@H](O)Cc1ccccc1
FEWMVFZZCUSAMK-OAQYLSRUSA-N	1	CFD	Complement factor D inhibitor	Nc1cc(COc2ccccc2CC(=O)O)cc(-c2cccc([C@H](N)CO)c2)c1
FFAJBRIJPGOECU-INIZCTEOSA-N	1	CCR3	Chemokine CCR3 Antagonists	Cn1nc(C2CC2)cc1NC(=O)N[C@H](CO)CCN1CC(Oc2ccc(Cl)cc2)C1
FFEARJCKVFRZRR-SCSAIBSYSA-N	1			
FFGNNGLKJOEDAC-UHFFFAOYSA-N	1	SSTR2	Somatostatin SRIF1A (sst2) Agonists	N#Cc1cc(S(=O)(=O)N2C(=O)N(CCCCCN)C(=O)C2Cc2c[nH]c3ccccc23)ccc1Oc1ccc(N)cc1
FFGPTBGBLSHEPO-UHFFFAOYSA-N	2	SCN10A,SCN5A	Sodium Channel  Blockers	NC(=O)N1c2ccccc2C=Cc2ccccc21
FFHSQDAETWTILU-UHFFFAOYSA-N	1	NEK2	NEK2 gene inhibitor	COc1cc(-c2cnc(N)c(N3CCC(C(=O)O)CC3)n2)cc(OC)c1OC
FFNWMBDISAYHDC-UHFFFAOYSA-N	5	HTR3E,HTR3D,HTR3C,HTR3B,HTR4	5-HT4 and 5-HT3 antagonist	CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC
FFQQVSHJKNRETB-UHFFFAOYSA-N	2	MUSK	Angiogenesis Inhibitors,VEGFR Inhibitors	Nc1c2ncnc-2[nH]c(O)c1-c1nc2ccccc2[nH]1
FFWUPFYTTMMSTH-UHFFFAOYSA-N	1	PARP2	Poly(ADP-ribose)polymerase-2 (PARP-2) Inhibitors	O=C(Oc1cccc2c(O)nccc12)c1ccccc1
FGPJLEXUYISLTH-UHFFFAOYSA-N	1	PTK2	FAK inhibitor	COc1ccc(Nc2ncc(Cl)c(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)c4c3C(=O)N(C)C4)n2)c(OC)c1
FGQFOYHRJSUHMR-UHFFFAOYSA-N	1			O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12
FGTCROZDHDSNIO-UHFFFAOYSA-N	16	KDR,ABL1,PDGFRB,KIT	Angiogenesis Inhibitors,KIT (C-KIT) Inhibitors,PDGFRbeta Inhibitors,VEGFR-2 (FLK-1/KDR) Inhibitors	O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12
FGXWKSZFVQUSTL-UHFFFAOYSA-N	2	DRD2,DRD3	Dopamine Receptor Antagonists	O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
FGYMJXFSHBLHLW-CYBMUJFWSA-N	1			COc1ncc(C)cc1CC[C@@](O)(CC(=O)O)C(=O)O
FHBANDDJQJAZOQ-CQSZACIVSA-N	1	PDE9A	PDE9a inhibitor	C[C@H](c1nc2c(cnn2C2CCOCC2)c(=O)[nH]1)N1CC(Oc2ccccc2)C1
FHKSAMKFFJMXMV-BGERDNNASA-N	1	PTAFR	PTAFR antagonist	O=C([C@@H]1CSC(c2cccnc2)N1)N1CCN(CCCc2ccccc2)CC1
FHXBMXJMKMWVRG-SLHNCBLASA-N	1	ESR1	Estrogen Receptor (ER) Agonists	
FIKVYIRIUOFLLR-UHFFFAOYSA-N	20	PTGS1,PTGS2,ALOX5,LTB4R,LTB4R2	Non-Steroidal Antiinflammatory Drugs,Lipoxygenase Inhibitors,Cyclooxygenase (COX) Inhibitors,Leukotriene BLT (LTB4) Antagonists	CC(CC(=O)c1ccc(-c2ccc(F)cc2F)cc1)C(=O)O
FIVPIPIDMRVLAY-RBJBARPLSA-N	1	SUV39H1	NF-kappaB (NFKB) Activation Inhibitors	CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SS3
FJDDSMSDZHURBJ-UHFFFAOYSA-N	4	MTNR1A,MTNR1B	MTNR1B agonist,MTNR1A agonist	COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1
FJHBVJOVLFPMQE-QFIPXVFZSA-N	2	TOP1	DNA Topoisomerase I Inhibitors,Apoptosis Inducers	CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
FJHGPWNOEATILY-UHFFFAOYSA-N	12	PRKCE,PRKCQ,ROCK1,ROCK2	Protein Kinase PKC epsilon Inhibitors,Protein Kinase PKC theta Inhibitors,Rho Kinase Inhibitors	NC(CNC(=O)C1(c2ccc(Cl)cc2)CC1)c1ccc(C(=O)Nc2ccncc2)cc1
FJJLMFGGWNDUMR-SFHVURJKSA-N	1	CYP17A1	Cytochrome P450 CYP17 (17alpha-Hydroxylase/C17-20 Lyase) Inhibitors	COc1ccc2cc([C@](O)(c3c[nH]cn3)C(C)C)ccc2c1
FJLBFSROUSIWMA-UHFFFAOYSA-N	9	CYP11B1,NR3C2,HSD11B1	Cytochrome P450 CYP11B1 (Steroid 11-beta Hydroxylase) Inhibitors,Mineralocorticoid Receptor (MR) Antagonists,11-beta-Hydroxysteroid Dehydrogenase Type 1 (11beta-HSD1) Inhibitors	CC(C)(C(=O)c1cccnc1)c1cccnc1
FJMQJSUOOGOWBD-UHFFFAOYSA-N	1	CNR1	Cannabinoid CB1 Antagonists	CC(F)(F)CN1CCOc2c(nn(-c3ccccc3Cl)c2-c2ccc(Cl)cc2)C1=O
FJVQHTGEXYKKBS-CJRGTMQESA-N	1	HSP90B1	Heat Shock Protein 90 (hsp90) Inhibitors	C[C@@H]1C/C=C/CC/C=C/C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
FJWYXWJQDPCIEZ-UHFFFAOYSA-N	2	CDK6,CDK4	CDK4 Inhibitors	CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CCC(C4)N5)cn3)nc2n1C1CCCC1
FJZKZLNJNRQYPS-TZMCWYRMSA-N	1	ADRA1A	ADRA1A agonist	COc1ccc(I)c2c1C[C@@H]1[C@@H](C2)OCCN1C
FJZZPCZKBUKGGU-AUSIDOKSSA-N	1			CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2
FKCMADOPPWWGNZ-YUMQZZPRSA-N	30	DPP7,DPP8,DPP9	Fibroblast Activation Protein-alpha (FAPalpha) Inhibitors,Dipeptidyl Peptidase VIII (DPP8) Inhibitors,DPRP2) Inhibitors,Dipeptidyl Peptidase IX (DPP9,DP-IV) Inhibitors,DPP-IV,Dipeptidyl Peptidase IV (CD26,DPP7) Inhibitors,DPP2,Dipeptidyl Peptidase II (DPPII	CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O
FKIAZUIISXQFHC-UHFFFAOYSA-N	1	NMT1	N-Myristoyltransferase  Inhibitors	Cc1c(COc2ccc(F)c(F)c2F)oc2cccc(OCCCNCc3cccnc3)c12
FKJMFCOMZYPWCO-HNNXBMFYSA-N	1	CASP1	Caspase 1 (IL-1beta Converting Enzyme) Inhibitors	O=C(O)C[C@H](NC(=O)OCc1ccccc1)C(=O)COC(=O)c1c(Cl)cccc1Cl
FKSFKBQGSFSOSM-QFIPXVFZSA-N	2	EZH2	PRC2/EZH2,EZH2 gene inhibitor	CC[C@H](C)n1cc(C)c2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(-c3ccc(N4CCNCC4)nc3)cc21
FKULIXGXFMDTPC-UHFFFAOYSA-N	1	HMOX1	Heme Oxygenase 1 (HO-1) Inhibitors	O=C(Cn1cncn1)c1ccc(-c2ccccc2)cc1
FLCMSIBUTPDBOT-LCUIJRPUSA-N	1			
FLCRMGKKLKMMAE-UHFFFAOYSA-N	1	PLAUR	PLAUR gene inhibitor	Cc1ccc(N2C(=O)C(O)=C(C(=O)c3ccc(Cl)cc3)C2c2cccc(F)c2)cc1Br
FLFWWGQQNBDVES-UHFFFAOYSA-N	1	RAPGEF4	RAPGEF4 inhibitor	Cc1cc(C)c(Nc2ccc(Cl)c(C(F)(F)F)c2)c(C)c1
FLKRMXAWABTWSH-UHFFFAOYSA-N	12	CA2,CA1,NAMPT	Nicotinamide Phosphoribosyltransferase (NMPRTase) Inhibitors,Apoptosis Inducers,Angiogenesis Inhibitors,Carbonic anhydrase inhibitor	NS(=O)(=O)N1CCCCC1
FLKSZJUIPRZEET-UHFFFAOYSA-N	4	CTSS,CTSK,CTSL,OPRM1	Cathepsin S Inhibitors	CC(C)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OC1CCN(C)CC1
FLKYBGKDCCEQQM-WYUVZMMLSA-N	1			
FLNYLINBEZROPL-NSOVKSMOSA-N	6	CACNA1C,CACNA1F,CACNA1S	Tachykinin NK1 Antagonists,Non-Steroidal Antiinflammatory Drugs	COc1ccccc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1
FLTBEMVEAFMWDD-UHFFFAOYSA-N	6	PTAFR,HRH1	Non-Steroidal Antiinflammatory Drugs,Platelet-Activating Factor Receptor (PAFR) Antagonists,Histamine H1 Receptor Antagonists	CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
FMACPFBCGJVLLZ-UHFFFAOYSA-N	3	ORAI1,ORAI2,ORAI3	Calcium Release-Activated Channels (CRAC) Blockers	Cc1cc(C)c(C(=O)Nc2ccc(-n3nc(C(F)(F)F)cc3C(F)(F)F)cc2)cn1
FMASTMURQSHELY-UHFFFAOYSA-N	2	GPBAR1	TGR5 agonist,GPBAR1 agonist	Cc1cc2c(CN(C(=O)c3ccncc3C)c3ccc(F)cc3C)cccc2[nH]1
FMTVWAGUJRUAKE-UHFFFAOYSA-N	3	PRMT1,PRMT6,PRMT8	Type I PRMT inhibitor	CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCN)cc1
FNGXWOIGFSRSSD-ZROIWOOFSA-N	1			O=C(O)CCN1C(=O)/C(=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)SC1=S
FNICBGZPBTURDA-UHFFFAOYSA-N	3	CA4,CA2,CA1	Carbonic anhydrase inhibitor	Cc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1
FNKQXYHWGSIFBK-RPDRRWSUSA-N	4	TH,NOS3,PAH,TPH1	Nitric Oxide Synthase Activator	C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(N)nc(=O)c2N1
FNPPHVLYVGMZMZ-XBXARRHUSA-N	4	MLKL,GSDMD	Covalent Necroptosis Inhibitors,Reduces sulfur mustard intoxication	COc1nccnc1NS(=O)(=O)c1ccc(NC(=O)/C=C/c2ccc([N+](=O)[O-])s2)cc1
FNSJVQXUTIKAPS-UHFFFAOYSA-N	2	MCL1	Mcl-1 Inhibitors,Apoptosis Inducers	N#Cc1c2c3ccc(Sc4ccc(N)cc4)c4cccc(c-2nc1=O)c43
FNTVKQKNZVAMJI-UHFFFAOYSA-N	2	SLC8A2,SLC8A1	Na+/Ca2+ Exchanger (NCX) Inhibitors	O=C1CS(=O)(=O)C(c2ccccc2Cl)c2cc(Cl)ccc2N1
FOCVUCIESVLUNU-UHFFFAOYSA-N	2	CYP2A6,CYP2B6	Cytochrome P450 Oxidase Inhibitors	S=P(N1CC1)(N1CC1)N1CC1
FOECKIWHCOYYFL-UHFFFAOYSA-N	1	P2RY14	P2RY14 inhibitor	O=C(O)c1cc(-c2ccc(C3CCNCC3)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2c1
FOFHDVOENOAIGR-UHFFFAOYSA-N	1	SMG1	SMG1 gene inhibitor	CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4ccc(C)c(S(=O)(=O)N(C)C)c4)n3)ccn2)cc1
FOIVPCKZDPCJJY-JQIJEIRASA-N	1	RARA	Retinoid RAR Agonists	C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
FPCCSQOGAWCVBH-UHFFFAOYSA-N	1	HTR2A	5-HT2 Antagonists	O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
FPGRARCGULBHOH-UHFFFAOYSA-N	1	MAPK14	p38alpha MAPK Inhibitors	CN(C)CCNC(=O)CN1CCN(C(=O)c2sc(C(C)(C)C)cc2NC(=O)Nc2cccc(Cl)c2Cl)C(C)(C)C1=O
FPIPGXGPPPQFEQ-OVSJKPMPSA-N	1	TGM1	1 Epidermal  transglutaminase inhibitor	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
FPNPSEMJLALQSA-MIYUEGBISA-N	2	P2RY2	P2Y2 Agonists,Mucin Production, Enhancers	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)O2)c(=O)n1
FPOBKZCHKXONBB-UHFFFAOYSA-N	2	ALOX5	Non-Steroidal Antiinflammatory Drugs,Lipoxygenase Inhibitors	NC(=O)N(O)CC1=Cc2cc(Oc3ccccc3)ccc2OC1
FPQNRXITKTZFMF-NWDGAFQWSA-N	6	SYK,PAK4,PAK5	Syk tyrosine kinase inhibitor,selective SYK inhibitor	NC(=O)c1nnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc2cc[nH]c12
FPQQERRFPULCIK-UHFFFAOYSA-N	1	ATAD2	ATAD2 inhibitor	COc1cncc(-c2cnc(NC3CCNCC3)c3[nH]c(=O)c(C)cc23)c1
FPVKHBSQESCIEP-JQCXWYLXSA-N	4	ADA,ADAR	Adenosine Deaminase Inhibitors,Antimetabolites	OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O
FQVLRGLGWNWPSS-BXBUPLCLSA-N	1	CDH2	N-cadherin Inhibitor	CC(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O
FQWDVNSBYDXPIO-CQSZACIVSA-N	2	BRPF1	BRPF1 inhibitor,BRPF1 inhibitors	COc1ccccc1C(=O)Nc1cc2c(cc1N1CCNC[C@H]1C)n(C)c(=O)n2C
FQXGNUDWMBVDCC-PTNGSMBKSA-N	2	CRHR2	CRF Receptor Antagonists,CRHR2 antagonist	
FQZSMTSTFMNWQF-UHFFFAOYSA-N	4	AGTR1,PTGS2	Angiotensin AT1 Antagonists,Cyclooxygenase-2 Inhibitors	CCCCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
FRPJGTNLZNXQEX-UHFFFAOYSA-N	1	DRD4	Dopamine D4 Agonists	c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1
FRPJSHKMZHWJBE-UHFFFAOYSA-N	1	PPARG	PPARgamma antagonist	O=C(Nc1ccncc1)c1cc([N+](=O)[O-])ccc1Cl
FRWXXAYVHFLWCV-UHFFFAOYSA-N	2	PRKCH,PRKCZ	Protein Kinase C (PKC) Inhibitors	Cn1cc(C2=C(c3c4n(c5ccccc35)CCC(CO)C4)C(=O)NC2=O)c2ccccc21
FSEZESVJDPKRDS-UWJYYQICSA-N	1	PIP5K1A	PIP5K1alpha inhibitor	CN1CC(=O)N2[C@@H](Cc3cc4c(cc3[C@H]2c2c[nH]c3ccc(Cl)cc23)OCO4)C1=O
FSIRXIHZBIXHKT-MHTVFEQDSA-N	2	DHFR	Dihydrofolate Reductase (DHFR) Inhibitors,Antimetabolites	CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
FSRBEBAWESSVKK-LJQANCHMSA-N	1	LPAR1	Lysophospholipid edg2 (LPA1) Receptor Antagonists	C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3)cc2)cnn1C)c1ccccc1
FSRSEANZUZHDHK-UHFFFAOYSA-N	4	HRH1,HRH4	Histamine H1 Receptor Ligands,Histamine H4 Receptor Agonists	CN1CCN(C2=Nc3ccc(Cl)cc3Oc3ccccc32)CC1
FSZPIAXLCCQFCM-FCQUAONHSA-N	1	MAP2K5	MEK5/ERK5 Inhibitor	CN(C)Cc1cccc(N/C(=C2\C(=O)Nc3cc(C(N)=O)ccc32)c2ccccc2)c1
FTALBRSUTCGOEG-UHFFFAOYSA-N	20	SLC7A11,SCN5A,KCND3,SLC1A1,SLC1A3	Cystine Glutamate Transporter Inducer,Sodium Channel  Blockers,K(V)4.3 Channel Blockers,Glutamate Release Inhibitors	Nc1nc2ccc(OC(F)(F)F)cc2s1
FTIBNGABJNFFAI-SVRRBLITSA-N	1	GRIN2A	NR2A positive allosteric modulator	
FTLQSQQQFMZPKO-UHFFFAOYSA-N	1	TPSB2	Known Tryptase inhibitor	NCc1cccc(C2CCN(C(=O)c3ccc(C#Cc4ccccc4F)o3)CC2)c1
FTVWIRXFELQLPI-ZDUSSCGKSA-N	4	CYP3A4	Cell Adhesion Inhibitors,Antioxidants,Cytochrome P450 CYP3A4 Inhibitors,Apoptosis Inducers	O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
FUBBWDWIGBTUPQ-UHFFFAOYSA-N	1	THRB	Thyroid Hormone Receptor beta Agonists	CCOC(=O)C(=O)Nc1cc(C)c(Oc2ccc(O)c(C(O)c3ccc(F)cc3)c2)c(C)c1
FUBNLFDSTCWVKM-OALUTQOASA-N	1			
FUGQNAUKABUDQI-UHFFFAOYSA-N	2	MEN1	Inhibitor of MEN1 (Menin),MEN1 inhibitor	CC(C)c1cc2c(N3CCN(C4=NCC(C)(C)S4)CC3)ncnc2s1
FUHCEERDBRGPQZ-LBNVMWSVSA-N	2	TPCN1,TPCN2	Nicotinic Acid Adenine Dinucleotide Phosphate (NAADP) Antagonists	COc1ccc([C@H]2N[C@H](C(=O)O)Cc3c2[nH]c2ccccc32)cc1CN1CCN(c2ccccc2F)CC1
FUPKFFJNRCYVCY-AREMUKBSSA-N	1	OGT	OGT (O-linked N-acetylglucosamine (GlcNAc) transferase) inhibitor	O=C([C@H](NS(=O)(=O)c1ccc2[nH]c(=O)ccc2c1)c1ccccc1)N(Cc1ccco1)Cc1cccs1
FUSNMLFNXJSCDI-UHFFFAOYSA-N	1	SQLE	Fungal Squalene Monooxygenase Inhibitors	Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1
FUZYTVDVLBBXDL-UHFFFAOYSA-N	2	SIRT1	SIRT1,Histone Deacetylase SIRT1 Inhibitors	NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21
FVKOFZKSMMIUTL-UHFFFAOYSA-N	1	IDE	Insulin degrading enzyme inhibitor	O=c1c2cc(F)ccc2sn1-c1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCOCC1
FVRLVWVKWXERPU-KRWDZBQOSA-N	1	FGFR4	FGFR4 gene inhibitor	CO[C@@H](C)COc1cc(NC(=O)N2CCCc3cc(CN4CCN(C)CC4=O)c(C=O)nc32)ncc1C#N
FWCVZAQENIZVMY-UHFFFAOYSA-N	1	HBB	Hemoglobin Subunit beta (Sickle Cell Anemia Variant) Polimerization Inhibitors	CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O
FWFGIHPGRQZWIW-SQNIBIBYSA-N	1			CC(C)C[C@@H](C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1)[C@H](O)C(=O)NO
FWFSAHWQTKFKBC-UHFFFAOYSA-N	2	CCND2,CCND3	CDK Inhibitors	CCn1c(=O)ccc2cnc([S+](C)[O-])nc21
FXGHOAZJQNLNFD-UHFFFAOYSA-N	2	PRKCH,PRKCZ	Protein Kinase C (PKC) Inhibitors	CN(C)CC1CCn2c(c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)C1
FXVFHUCFWMFLSG-UHFFFAOYSA-N	1	APOB	ApoB Secretion Inhibitors	O=C(Nc1ccc2c(c1)CCN2CCc1ccccn1)c1ccccc1-c1ccc(C(F)(F)F)cc1
FYICDSWKKFSYOM-UHFFFAOYSA-N	1	ERBB3	ERBB3 covalent inhibitor	C=CC(=O)Nc1cc(-c2nn(C3CCC(N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1Oc1ccccc1
FYNMINFUAIDIFL-UHFFFAOYSA-N	1			Cc1ncc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cnc(OC2CCOCC2)c(N2CCOCC2)c1
FYPMFJGVHOHGLL-UHFFFAOYSA-N	6	ABCA1,HPN	ABCA1-mediated cellular lipid efflux inhibitor,Antioxidants,Serine Protease Hepsin Inhibitors	CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
FYSRKRZDBHOFAY-UHFFFAOYSA-N	1	MAPK14	P38a kinase inhibitor	NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F
FZFOTSIMQZCSAS-UHFFFAOYSA-N	3	HTR1A,MAOB,MAOA	Serotonin Antagonists	COc1cc2cc(C3CCNCC3)oc2cc1OC
FZHHRERIIVOATI-UHFFFAOYSA-N	4	NAMPT	Neuroprotective,Nampt) Activators,Nicotinamide Phosphoribosyltransferase (NAmPRTase,Neuroprotectant	OC(CNc1ccccc1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21
FZKFBGXSXUYBMX-FQEVSTJZSA-N	4	ITGAL,ICAM1	Anti-ICAM-1 (CD54) Agents,Integrin alphaLbeta2 (LFA-1) Antagonists	O=C(NCc1cccc(O)c1)c1cc(Cl)c(C(=O)N[C@@H](CNC(=O)c2cc(O)cc(O)c2)C(=O)O)c(Cl)c1
FZNCGRZWXLXZSZ-CIQUZCHMSA-N	4	SI,GAA	inhibits digestion and absorption of glucose from intestine,alpha-Glucosidase Inhibitors	OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
FZWTUTSNVNMLPN-UHFFFAOYSA-N	1	SCD	SCD inhibitor	Cc1nc(-n2ccc(O)cc2=O)sc1C(=O)NCc1ccccc1
FZXZDHDSQPECTD-UHFFFAOYSA-N	2	PRKCH,PRKCZ	Protein Kinase C (PKC) Inhibitors	Cn1cc(C2=C(c3cn(C4CCN(C(=O)OC(C)(C)C)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
